        Date        hcnps_intlk_chiller_CZ_read_chiller_temp
2023-11-09 18:16:59                                    19.97
2023-11-09 18:20:07                                    19.93
2023-11-09 18:20:34                                    19.96
2023-11-09 18:23:16                                    19.99
2023-11-09 18:24:09                                    19.96
2023-11-09 18:30:26                                    19.99
2023-11-09 18:31:20                                    19.96
2023-11-09 18:32:41                                    19.99
2023-11-09 18:33:08                                    19.96
2023-11-09 18:34:29                                    19.99
2023-11-09 18:35:22                                    19.96
2023-11-09 18:36:16                                    19.99
2023-11-09 18:36:43                                    19.96
2023-11-09 18:37:37                                    19.93
2023-11-09 18:41:12                                    19.96
2023-11-09 18:43:27                                       20
2023-11-09 18:43:54                                    20.03
2023-11-09 18:45:15                                    20.07
2023-11-09 18:45:42                                     20.1
2023-11-09 18:46:09                                    20.04
2023-11-09 18:46:35                                    20.07
2023-11-09 18:49:44                                    20.04
2023-11-09 18:51:05                                    20.07
2023-11-09 18:51:58                                    20.04
2023-11-09 18:52:25                                    20.09
2023-11-09 18:53:19                                    20.04
2023-11-09 18:53:46                                       20
2023-11-09 18:55:07                                    19.95
2023-11-09 18:56:01                                       20
2023-11-09 18:57:48                                    20.03
2023-11-09 18:58:42                                       20
2023-11-09 19:00:03                                    20.04
2023-11-09 19:00:30                                    20.01
2023-11-09 19:01:24                                    20.04
2023-11-09 19:05:26                                    20.07
2023-11-09 19:05:53                                    20.04
2023-11-09 19:11:43                                    19.98
2023-11-09 19:12:37                                    20.03
2023-11-09 19:15:18                                    19.98
2023-11-09 19:15:45                                    20.03
2023-11-09 19:16:39                                    19.95
2023-11-09 19:18:53                                    19.98
2023-11-09 19:19:47                                    20.01
2023-11-09 19:21:08                                    19.97
2023-11-09 19:21:35                                    20.01
2023-11-09 19:23:23                                    20.04
2023-11-09 19:25:10                                    20.07
2023-11-09 19:36:23                                    20.03
2023-11-09 19:53:53                                    19.99
2023-11-09 19:54:20                                    20.02
2023-11-09 19:55:14                                    19.99
2023-11-09 19:56:08                                    20.01
2023-11-09 19:57:02                                    19.99
2023-11-09 19:57:56                                    20.02
2023-11-09 19:59:16                                    19.99
2023-11-09 20:00:10                                    20.02
2023-11-09 20:01:04                                    19.98
2023-11-09 20:01:31                                    20.01
